p_fatal,실제
0.2819130279912386,치명
0.3208591386494745,경+중등도
0.17189087848791118,경+중등도
0.2589171198077149,경+중등도
0.4579583674541053,치명
0.01870543909767013,경+중등도
0.24044846843597448,경+중등도
0.1258243614284256,경+중등도
0.2644288144327964,경+중등도
0.36219090281549055,경+중등도
0.36504638436400877,치명
0.07703824677665973,중상
0.20819515546300363,경+중등도
0.06773972570051857,경+중등도
0.08196519813105448,경+중등도
0.6386298752034882,경+중등도
0.1799739660099883,중상
0.15267258965379396,경+중등도
0.06788817354655702,경+중등도
0.4681128150625609,경+중등도
0.2300927637793835,중상
0.17292694777126685,경+중등도
0.12721333521524772,경+중등도
0.3680565580980782,경+중등도
0.1655458661269398,경+중등도
0.03711902663103333,경+중등도
0.46239593554237396,경+중등도
0.20939195498341326,경+중등도
0.04721829745482825,경+중등도
0.18677888585429256,경+중등도
0.8303341306725783,경+중등도
0.09704886517574396,경+중등도
0.06365642466016576,경+중등도
0.04889070380434488,경+중등도
0.8959807464070456,경+중등도
0.8184892602510994,치명
0.7278747700061726,치명
0.6000048178632803,경+중등도
0.3494414592731123,경+중등도
0.7066816370230308,경+중등도
0.00987093298280831,경+중등도
0.7537609795458299,치명
0.038921369688741866,경+중등도
0.22672199529290435,경+중등도
0.49771960145871125,경+중등도
0.11534305383525563,경+중등도
0.5222756992725734,경+중등도
0.0791036036076822,경+중등도
0.13234497512755306,경+중등도
0.07700217904066751,중상
0.07323966269615621,경+중등도
0.020996574527144114,경+중등도
0.1723453051974372,경+중등도
0.08944852442286544,경+중등도
0.7471699776242137,치명
0.13948482483229593,경+중등도
0.18442465721042564,경+중등도
0.12096027857106852,경+중등도
0.07800666651752962,경+중등도
0.6922665667817283,경+중등도
0.2987693059706698,경+중등도
0.2408299999639938,경+중등도
0.3266753364737563,치명
0.07471753199535806,경+중등도
0.6305789453991782,치명
0.6002224887873351,경+중등도
0.24636917170768727,경+중등도
0.13225105415107194,경+중등도
0.1397407892044676,경+중등도
0.9604188439431418,치명
0.11113159518429087,경+중등도
0.10108262355553758,경+중등도
0.15341601494880464,경+중등도
0.018760600635100086,경+중등도
0.0638965489997467,치명
0.19908367554837705,경+중등도
0.2553714529457379,경+중등도
0.23799627444552152,중상
0.09494837687583056,경+중등도
0.06106928482766871,경+중등도
0.5038469893714037,경+중등도
0.07639775460505073,경+중등도
0.2851042912292498,경+중등도
0.8828521471796084,치명
0.5130854205122619,경+중등도
0.029516832016784355,중상
0.2839139159372775,경+중등도
0.038804172714632434,중상
0.037891270438318546,경+중등도
0.6644738401144233,경+중등도
0.31511828714538886,경+중등도
0.08856006863103694,경+중등도
0.16165709812034693,경+중등도
0.045720681851201206,경+중등도
0.20545070517149863,경+중등도
0.717540033057336,경+중등도
0.8867860414526053,경+중등도
0.10073528200846897,경+중등도
0.23806983531965895,경+중등도
0.25082268367566135,경+중등도
0.17754378829429673,경+중등도
0.32256172198375427,경+중등도
0.004420813772099303,중상
0.408151806919661,경+중등도
0.3495473808054182,경+중등도
0.17573541299495057,경+중등도
0.08841533044759715,경+중등도
0.0891394561055391,경+중등도
0.26407481079979617,경+중등도
0.020699418610182152,경+중등도
0.14043208377752334,경+중등도
0.11988280736762631,치명
0.11179273719783632,경+중등도
0.019076543927145365,중상
0.03961821297619781,중상
0.4675637162252504,치명
0.18068548223238,경+중등도
0.07789623389839019,경+중등도
0.25498642266718957,경+중등도
0.018759529511189765,경+중등도
0.34964239453491586,경+중등도
0.0029851574866288128,중상
0.9059193578902893,경+중등도
0.19598310529886098,경+중등도
0.12675423435235258,경+중등도
0.09110450397657392,경+중등도
0.054181824520544854,경+중등도
0.15582340461903132,경+중등도
0.10337468292954453,경+중등도
0.510696000559498,경+중등도
0.037308060168209325,경+중등도
0.06373237776185635,경+중등도
0.031377668723330636,경+중등도
0.033780538210606274,경+중등도
0.3872053107128874,경+중등도
0.17254769570278072,경+중등도
0.5310060897913683,치명
0.071085154901965,경+중등도
0.15103424839999205,경+중등도
0.05352740017048433,경+중등도
0.4230953049479769,치명
0.11600193776977478,경+중등도
0.4686744421760656,경+중등도
0.3486527124781691,경+중등도
0.23864827587213486,경+중등도
0.009196255615021012,중상
0.024269579852348334,경+중등도
0.5888940843230682,치명
0.17825100373966452,치명
0.20116508304870392,경+중등도
0.01668990754234456,경+중등도
0.11266481021495867,경+중등도
0.040155485191551564,경+중등도
0.4105372356845693,치명
0.05618448005233467,경+중등도
0.015576733515489915,경+중등도
0.14872199920147364,경+중등도
0.09385159908749585,경+중등도
0.18163502526693068,경+중등도
0.002006202197951982,중상
0.32426947981046816,중상
0.16284551403313666,경+중등도
0.3861193306235314,경+중등도
0.024441696038462673,경+중등도
0.18854414126008123,경+중등도
0.8098768778196415,경+중등도
0.14060566882307537,경+중등도
0.08843730085001934,치명
0.3612654147397499,중상
0.029117133867273992,경+중등도
0.24291587460235772,치명
0.22601874059207525,경+중등도
