P_끼임(Caught-in),P_절단·베임·찔림(Cut),P_추락·압착(Falls),P_물체에 맞음(Struck-by),P_전도·충돌(Trips/Struck-against),실제
0.20863817632198334,0.04399946704506874,0.20711074769496918,0.14948634803295135,0.3907652199268341,전도·충돌(Trips/Struck-against)
0.2189277559518814,0.09580686688423157,0.16368502378463745,0.27141791582107544,0.2501624822616577,추락·압착(Falls)
0.14254729449748993,0.18382437527179718,0.47589442133903503,0.10734889656305313,0.09038496762514114,추락·압착(Falls)
0.22175969183444977,0.1552227884531021,0.05440598353743553,0.28866249322891235,0.2799490988254547,전도·충돌(Trips/Struck-against)
0.36240270733833313,0.07207304984331131,0.3195737302303314,0.13148079812526703,0.1144697442650795,끼임(Caught-in)
0.1648431271314621,0.08054865896701813,0.30941042304039,0.28062063455581665,0.16457711160182953,전도·충돌(Trips/Struck-against)
0.10935088992118835,0.03952549025416374,0.348611444234848,0.045902036130428314,0.4566101133823395,전도·충돌(Trips/Struck-against)
0.3644770681858063,0.09347660839557648,0.07988493889570236,0.1515619158744812,0.31059950590133667,물체에 맞음(Struck-by)
0.3036019504070282,0.07458578795194626,0.07578065246343613,0.09435578435659409,0.4516758620738983,전도·충돌(Trips/Struck-against)
0.16719555854797363,0.09906363487243652,0.25250697135925293,0.11090469360351562,0.3703291416168213,물체에 맞음(Struck-by)
0.10499429702758789,0.04316575452685356,0.32769307494163513,0.3619396388530731,0.1622072160243988,추락·압착(Falls)
0.29614531993865967,0.10578183084726334,0.21986551582813263,0.15514115989208221,0.22306612133979797,물체에 맞음(Struck-by)
0.3326709568500519,0.0846497043967247,0.09211084991693497,0.2397657185792923,0.25080275535583496,끼임(Caught-in)
0.3726067841053009,0.07632771134376526,0.14567196369171143,0.19558389484882355,0.20980966091156006,추락·압착(Falls)
0.18217873573303223,0.18327245116233826,0.3490273952484131,0.1790991574525833,0.1064222976565361,추락·압착(Falls)
0.06133437529206276,0.8185364603996277,0.009452849626541138,0.07536729425191879,0.03530905395746231,절단·베임·찔림(Cut)
0.22857648134231567,0.08117606490850449,0.06696771830320358,0.12452387809753418,0.4987558126449585,전도·충돌(Trips/Struck-against)
0.2373862862586975,0.249968022108078,0.0946737602353096,0.26189056038856506,0.15608136355876923,물체에 맞음(Struck-by)
0.23148570954799652,0.08112433552742004,0.2783910930156708,0.28032186627388,0.12867698073387146,추락·압착(Falls)
0.22309575974941254,0.1769716739654541,0.10912295430898666,0.30668529868125916,0.18412432074546814,끼임(Caught-in)
0.41358014941215515,0.05496109649538994,0.22142401337623596,0.19462652504444122,0.11540821939706802,전도·충돌(Trips/Struck-against)
0.03924887254834175,0.8904002904891968,0.004727215971797705,0.055691853165626526,0.009931792505085468,절단·베임·찔림(Cut)
